Date,Open,High,Low,Close,Volume,Open_weekly,High_weekly,Low_weekly,Close_weekly,Volume_weekly
2007-09-20,1902.22998,1915.189941,1894.76001,1908.969971,441900,1845.589966,1875.949951,1805.880005,1870.02002,1926100.0
2007-09-21,1909.369995,1921.22998,1902.109985,1919.26001,440100,1845.589966,1875.949951,1805.880005,1870.02002,1926100.0
2007-09-27,1944.869995,1952.390015,1935.02002,1945.280029,394500,1873.650024,1921.22998,1837.219971,1919.26001,2081700.0
2007-09-28,1950.98999,1951.180054,1936.859985,1946.47998,541700,1873.650024,1921.22998,1837.219971,1919.26001,2081700.0
2007-10-01,1948.780029,1970.109985,1946.130005,1962.670044,436100,1944.869995,1952.390015,1935.02002,1946.47998,936200.0
2007-10-02,1991.0,2014.959961,1981.640015,2014.089966,473900,1944.869995,1952.390015,1935.02002,1946.47998,936200.0
2007-10-04,1998.560059,2013.209961,1992.01001,2003.599976,462600,1944.869995,1952.390015,1935.02002,1946.47998,936200.0
2007-10-05,2007.839966,2009.680054,1990.819946,1996.030029,380400,1944.869995,1952.390015,1935.02002,1946.47998,936200.0
2007-10-08,2020.339966,2022.01001,2002.430054,2012.819946,504200,1948.780029,2014.959961,1946.130005,1996.030029,1753000.0
2007-10-09,2014.939941,2022.869995,1995.050049,2014.130005,471500,1948.780029,2014.959961,1946.130005,1996.030029,1753000.0
2007-10-10,2033.689941,2044.780029,2026.900024,2041.119995,368700,1948.780029,2014.959961,1946.130005,1996.030029,1753000.0
2007-10-11,2040.349976,2058.870117,2033.449951,2058.850098,519200,1948.780029,2014.959961,1946.130005,1996.030029,1753000.0
2007-10-12,2047.670044,2057.389893,2020.800049,2026.439941,456900,1948.780029,2014.959961,1946.130005,1996.030029,1753000.0
2007-10-15,2043.930054,2047.02002,2012.040039,2035.390015,383900,2020.339966,2058.870117,1995.050049,2026.439941,2320500.0
2007-10-16,2014.359985,2042.839966,2001.300049,2005.76001,548700,2020.339966,2058.870117,1995.050049,2026.439941,2320500.0
2007-10-17,2000.390015,2009.670044,1933.819946,1983.939941,507300,2020.339966,2058.870117,1995.050049,2026.439941,2320500.0
2007-10-18,1989.599976,2012.319946,1977.5,2005.089966,426900,2020.339966,2058.870117,1995.050049,2026.439941,2320500.0
2007-10-19,2003.27002,2003.27002,1970.099976,1970.099976,390300,2020.339966,2058.870117,1995.050049,2026.439941,2320500.0
2007-10-22,1901.150024,1910.189941,1875.22998,1903.810059,354500,2043.930054,2047.02002,1933.819946,1970.099976,2257100.0
2007-10-23,1936.920044,1952.319946,1909.609985,1947.97998,371200,2043.930054,2047.02002,1933.819946,1970.099976,2257100.0
2007-10-24,1966.550049,2003.199951,1923.069946,1933.359985,481100,2043.930054,2047.02002,1933.819946,1970.099976,2257100.0
2007-10-25,1967.079956,1982.189941,1941.050049,1976.75,453600,2043.930054,2047.02002,1933.819946,1970.099976,2257100.0
2007-10-26,1987.199951,2028.069946,1968.819946,2028.060059,438900,2043.930054,2047.02002,1933.819946,1970.099976,2257100.0
2007-10-29,2051.620117,2070.860107,2044.089966,2062.919922,481200,1901.150024,2028.069946,1875.22998,2028.060059,2099300.0
