Date,Open,High,Low,Close,Volume
2017-03-15,4980.049805,4989.299805,4966.049805,4985.47998,81890200
2017-03-16,5027.100098,5031.569824,5004.620117,5013.379883,113121800
2017-03-17,5006.709961,5037.850098,5001.390137,5029.240234,160166500
2017-03-20,5008.080078,5030.060059,5004.080078,5012.160156,64225900
2017-03-21,5030.200195,5054.910156,4990.640137,5002.430176,93549600
2017-03-22,4969.109863,5005.060059,4953.569824,4994.700195,99409000
2017-03-23,4996.620117,5032.939941,4980.560059,5032.759766,89305600
2017-03-24,5027.189941,5027.189941,5003.580078,5020.899902,68967900
2017-03-27,4975.089844,5017.879883,4971.069824,5017.430176,94079200
2017-03-28,5027.129883,5048.109863,5008.669922,5046.200195,85350200
2017-03-29,5063.700195,5073.22998,5044.419922,5069.040039,86407300
2017-03-30,5075.609863,5090.919922,5063.069824,5089.640137,73882900
2017-03-31,5077.299805,5122.509766,5067.740234,5122.509766,103369500
2017-04-03,5130.180176,5132.930176,5083.140137,5085.910156,81634900
2017-04-04,5087.600098,5101.129883,5076.350098,5101.129883,84044500
2017-04-05,5104.709961,5123.779785,5087.680176,5091.850098,84135600
2017-04-06,5063.620117,5126.740234,5051.609863,5121.439941,88623600
2017-04-07,5104.72998,5135.279785,5098.049805,5135.279785,84781300
2017-04-10,5127.359863,5127.359863,5097.560059,5107.450195,70156500
2017-04-11,5086.609863,5119.180176,5068.25,5101.859863,93608500
2017-04-12,5114.5,5142.810059,5093.97998,5101.109863,100135100
2017-04-13,5090.47998,5090.47998,5062.319824,5071.100098,97291600
2017-04-18,5078.25,5080.029785,4990.25,4990.25,140164900
2017-04-19,4987.290039,5011.330078,4980.410156,5003.72998,112517100
2017-04-20,4992.470215,5093.600098,4989.259766,5077.910156,134681300
2017-04-21,5063.359863,5081.609863,5029.060059,5059.200195,165386200
2017-04-24,5267.879883,5295.470215,5228.540039,5268.850098,228792800
2017-04-25,5274.359863,5293.390137,5259.629883,5277.879883,115584900
2017-04-26,5272.859863,5296.52002,5270.319824,5287.879883,120017900
2017-04-27,5276.970215,5278.959961,5261.72998,5271.700195,113942900
2017-04-28,5267.660156,5287.850098,5265.359863,5267.330078,122645300
2017-05-02,5284.879883,5305.950195,5274.290039,5304.149902,104617800
2017-05-03,5299.740234,5301.609863,5282.450195,5301.0,97848100
2017-05-04,5309.390137,5372.419922,5304.459961,5372.419922,152534000
2017-05-05,5344.919922,5432.399902,5343.02002,5432.399902,138533800
2017-05-08,5442.100098,5442.100098,5374.200195,5382.950195,116136600
2017-05-09,5404.140137,5413.600098,5394.129883,5398.009766,103174700
2017-05-10,5398.810059,5402.339844,5377.75,5400.459961,100058200
2017-05-11,5409.899902,5409.990234,5356.410156,5383.419922,124960400
2017-05-12,5386.790039,5405.419922,5375.47998,5405.419922,158409000
2017-05-15,5411.27002,5417.399902,5384.540039,5417.399902,97533000
2017-05-16,5398.149902,5417.169922,5389.870117,5406.100098,95519900
2017-05-17,5375.839844,5394.879883,5297.430176,5317.890137,118949500
2017-05-18,5309.910156,5322.700195,5238.509766,5289.72998,124719100
2017-05-19,5299.399902,5334.450195,5292.120117,5324.399902,108705400
2017-05-22,5335.120117,5339.410156,5315.22998,5322.879883,73526700
2017-05-23,5317.120117,5368.879883,5314.47998,5348.160156,85536300
2017-05-24,5336.97998,5353.009766,5326.589844,5341.339844,79667800
2017-05-25,5360.970215,5366.700195,5323.109863,5337.160156,66254500
2017-05-26,5328.859863,5336.759766,5282.419922,5336.640137,76926600
2017-05-29,5327.72998,5335.779785,5316.689941,5332.470215,43001700
2017-05-30,5291.080078,5309.359863,5273.560059,5305.939941,78126400
2017-05-31,5306.209961,5334.569824,5283.629883,5283.629883,143676300
2017-06-01,5290.839844,5327.600098,5287.990234,5318.669922,84194600
2017-06-02,5347.859863,5372.970215,5328.189941,5343.410156,95624300
2017-06-05,5337.109863,5343.790039,5299.759766,5307.890137,48932000
2017-06-06,5280.200195,5296.419922,5260.950195,5269.220215,79880200
2017-06-07,5261.419922,5320.040039,5254.029785,5265.529785,94213100
2017-06-08,5264.689941,5290.5,5250.680176,5264.240234,85052500
2017-06-09,5275.990234,5320.169922,5266.830078,5299.709961,79889400
2017-06-12,5282.580078,5286.100098,5233.689941,5240.589844,85538800
2017-06-13,5254.140137,5273.870117,5248.290039,5261.740234,72390200
2017-06-14,5283.600098,5314.959961,5243.290039,5243.290039,97019900
2017-06-15,5235.359863,5235.879883,5176.669922,5216.879883,118313500
2017-06-16,5243.529785,5273.680176,5236.0,5263.310059,164098100
2017-06-19,5305.220215,5331.319824,5302.049805,5310.720215,77527800
2017-06-20,5330.580078,5339.549805,5293.649902,5293.649902,81245800
2017-06-21,5273.0,5286.060059,5224.049805,5274.259766,83179900
2017-06-22,5258.680176,5286.459961,5237.330078,5281.930176,80688900
2017-06-23,5273.240234,5283.879883,5247.52002,5266.120117,66693700
2017-06-26,5295.040039,5323.72998,5289.560059,5295.75,67071900
2017-06-27,5282.870117,5284.959961,5237.669922,5258.580078,90277800
2017-06-28,5235.830078,5273.950195,5203.899902,5252.899902,96381000
2017-06-29,5268.22998,5272.939941,5143.819824,5154.350098,114605600
2017-06-30,5157.589844,5192.390137,5117.22998,5120.680176,97126700
2017-07-03,5151.189941,5200.72998,5151.189941,5195.720215,76373400
2017-07-04,5170.540039,5197.810059,5165.859863,5174.899902,56279100
2017-07-05,5174.790039,5192.509766,5160.859863,5180.100098,85258200
2017-07-06,5177.209961,5177.620117,5111.160156,5152.399902,91164900
2017-07-07,5149.790039,5155.419922,5125.990234,5145.160156,74708800
2017-07-10,5160.700195,5179.339844,5147.669922,5165.640137,60989800
2017-07-11,5172.029785,5186.439941,5135.950195,5140.600098,64875700
2017-07-12,5158.22998,5239.02002,5157.839844,5222.129883,83513800
2017-07-13,5228.930176,5259.470215,5221.580078,5235.399902,75719800
