Date,Open,High,Low,Close,Volume,Index
2017-05-26,2300.679932,2364.800049,2292.949951,2355.300049,1773000,^KS11
2017-06-02,2362.590088,2372.649902,2332.159912,2371.719971,2117100,^KS11
2017-06-09,2376.659912,2385.149902,2347.620117,2381.689941,1640300,^KS11
2017-06-16,2370.689941,2387.290039,2350.370117,2361.830078,1706400,^KS11
2017-06-23,2364.02002,2382.540039,2346.189941,2378.600098,1567400,^KS11
2017-06-30,2381.090088,2402.800049,2377.879883,2391.790039,1833500,^KS11
2017-07-07,2397.659912,2399.899902,2372.830078,2379.870117,1672400,^KS11
2017-07-14,2386.300049,2422.26001,2378.040039,2414.629883,1397800,^KS11
2017-07-21,2427.76001,2451.590088,2419.169922,2450.060059,1287900,^KS11
2017-07-28,2451.409912,2453.169922,2399.060059,2400.98999,1589900,^KS11
2017-08-04,2392.02002,2434.469971,2374.110107,2395.449951,1380400,^KS11
2017-08-11,2402.570068,2412.129883,2310.199951,2319.709961,1333600,^KS11
2017-08-18,2336.02002,2364.5,2327.800049,2358.370117,941800,^KS11
2017-08-25,2363.379883,2384.590088,2351.959961,2378.51001,1325200,^KS11
2017-09-01,2376.379883,2383.459961,2332.850098,2357.689941,1300800,^KS11
2017-09-08,2316.889893,2351.72998,2314.310059,2343.719971,1313200,^KS11
2017-09-15,2354.860107,2386.070068,2354.350098,2386.070068,1509100,^KS11
2017-09-22,2390.580078,2429.120117,2389.649902,2406.5,1166700,^KS11
2017-09-29,2388.77002,2394.469971,2365.340088,2394.469971,1240000,^KS11
2017-10-13,2425.629883,2479.72998,2421.100098,2473.620117,914500,^KS11
2017-10-20,2483.169922,2490.939941,2468.669922,2489.540039,1217400,^KS11
2017-10-27,2497.649902,2500.330078,2479.669922,2496.629883,2263700,^KS11
2017-11-03,2513.870117,2561.629883,2497.419922,2557.969971,1838100,^KS11
2017-11-10,2557.290039,2559.929932,2529.939941,2542.949951,1337100,^KS11
2017-11-17,2548.27002,2559.100098,2511.76001,2533.98999,1617600,^KS11
2017-11-24,2536.800049,2553.219971,2523.52002,2544.330078,2064100,^KS11
2017-12-01,2544.73999,2546.709961,2472.75,2475.409912,1561900,^KS11
2017-12-08,2486.719971,2513.679932,2452.399902,2464.0,2038100,^KS11
2017-12-15,2467.810059,2514.610107,2455.389893,2482.070068,1434900,^KS11
2017-12-22,2488.830078,2498.669922,2426.939941,2440.540039,1110500,^KS11
2017-12-29,2447.669922,2467.51001,2411.47998,2467.48999,639800,^KS11
2018-01-05,2474.860107,2502.5,2465.939941,2497.52002,1235900,^KS11
2018-01-12,2510.699951,2524.72998,2482.149902,2496.419922,2012800,^KS11
2018-01-19,2510.969971,2532.080078,2496.179932,2520.26001,1767800,^KS11
2018-01-26,2516.899902,2574.76001,2488.439941,2574.76001,1999300,^KS11
2018-02-02,2588.870117,2607.100098,2519.600098,2525.389893,2314500,^KS11
2018-02-09,2487.340088,2503.98999,2346.72998,2363.77002,2336800,^KS11
2018-02-16,2380.48999,2426.629883,2367.310059,2421.830078,1081400,^KS11
2018-02-23,2452.52002,2455.120117,2404.02002,2451.52002,1826000,^KS11
2018-03-02,2465.350098,2480.790039,2387.25,2402.159912,1280500,^KS11
2018-03-09,2405.919922,2476.429932,2374.800049,2459.449951,1957500,^KS11
2018-03-16,2485.639893,2497.800049,2471.040039,2493.969971,1824200,^KS11
2018-03-23,2491.98999,2508.709961,2412.620117,2416.76001,2107900,^KS11
2018-03-30,2414.679932,2458.23999,2399.439941,2445.850098,1869000,^KS11
2018-04-06,2454.719971,2467.52002,2405.909912,2429.580078,2484400,^KS11
2018-04-13,2424.149902,2458.98999,2419.550049,2455.070068,1883500,^KS11
2018-04-20,2466.040039,2490.570068,2449.080078,2476.330078,2647900,^KS11
2018-04-27,2473.699951,2508.129883,2436.51001,2492.399902,2677700,^KS11
2018-05-04,2502.290039,2516.570068,2461.379883,2461.379883,2780000,^KS11
2018-05-11,2468.449951,2483.850098,2428.790039,2477.709961,2398000,^KS11
2018-05-18,2482.969971,2486.169922,2444.669922,2460.649902,3083300,^KS11
2018-05-25,2464.070068,2481.310059,2444.77002,2460.800049,2632500,^KS11
2018-06-01,2465.0,2482.399902,2399.580078,2438.959961,3276000,^KS11
2018-06-08,2444.620117,2478.669922,2432.810059,2451.580078,1944600,^KS11
2018-06-15,2454.25,2479.560059,2403.969971,2404.040039,2076900,^KS11
2018-06-22,2404.679932,2405.560059,2320.76001,2357.219971,2602700,^KS11
2018-06-29,2351.889893,2361.389893,2296.389893,2326.129883,2223700,^KS11
2018-07-06,2322.22998,2327.590088,2243.899902,2272.870117,1765700,^KS11
2018-07-13,2276.919922,2313.800049,2262.77002,2310.899902,1771500,^KS11
2018-07-20,2312.26001,2319.389893,2269.550049,2289.189941,1896600,^KS11
2018-07-27,2289.610107,2297.159912,2263.129883,2294.98999,1645100,^KS11
2018-08-03,2290.179932,2312.649902,2265.459961,2287.679932,1272000,^KS11
2018-08-10,2288.51001,2308.600098,2277.889893,2282.790039,1305600,^KS11
2018-08-17,2266.429932,2271.820068,2218.090088,2247.050049,1141500,^KS11
2018-08-24,2257.350098,2295.219971,2244.590088,2293.209961,1520900,^KS11
2018-08-31,2297.320068,2322.879883,2289.409912,2322.879883,1394900,^KS11
2018-09-07,2317.929932,2318.719971,2264.899902,2281.580078,1610800,^KS11
2018-09-14,2277.350098,2318.649902,2271.0,2318.25,1611100,^KS11
2018-09-21,2314.550049,2339.169922,2287.419922,2339.169922,1614100,^KS11
2018-09-28,2331.699951,2356.620117,2331.699951,2343.070068,597100,^KS11
