Date,Close,High,Low,Open,Volume
05-12-2019,27677.78906,27745.19922,27562.80078,27736.05078,208600000
06-12-2019,28015.06055,28035.84961,27839.67969,27839.67969,223310000
09-12-2019,27909.59961,28010.41992,27906.14063,27987.05078,217000000
10-12-2019,27881.7207,27949.01953,27804,27900.65039,213250000
11-12-2019,27911.30078,27925.5,27801.80078,27867.31055,213510000
12-12-2019,28132.05078,28224.94922,27859.86914,27898.33984,277740000
13-12-2019,28135.38086,28290.73047,28028.32031,28123.64063,250660000
16-12-2019,28235.89063,28337.49023,28191.66992,28191.66992,286770000
17-12-2019,28267.16016,28328.63086,28220.56055,28221.75,286770000
18-12-2019,28239.2793,28323.25,28239.2793,28291.43945,289890000
19-12-2019,28376.96094,28381.48047,28278.24023,28278.31055,262570000
20-12-2019,28455.08984,28608.64063,28445.59961,28608.64063,603780000
23-12-2019,28551.5293,28582.49023,28491.7793,28491.7793,223530000
24-12-2019,28515.44922,28576.80078,28503.21094,28572.57031,86150000
26-12-2019,28621.39063,28624.09961,28535.15039,28539.46094,155970000
27-12-2019,28645.25977,28701.66016,28608.98047,28675.33984,182280000
30-12-2019,28462.14063,28664.68945,28428.98047,28654.75977,181600000
31-12-2019,28538.43945,28547.34961,28376.49023,28414.64063,193340000
02-01-2020,28868.80078,28872.80078,28627.76953,28638.9707,251820000
03-01-2020,28634.88086,28716.31055,28500.35938,28553.33008,239590000
06-01-2020,28703.38086,28708.01953,28418.63086,28465.5,252760000
07-01-2020,28583.67969,28685.5,28565.2793,28639.17969,258900000
08-01-2020,28745.08984,28866.17969,28522.50977,28556.14063,291750000
09-01-2020,28956.90039,28988.00977,28844.31055,28851.9707,275060000
10-01-2020,28823.76953,29009.07031,28789.09961,28977.51953,237830000
13-01-2020,28907.05078,28909.91016,28819.42969,28869.00977,249830000
14-01-2020,28939.66992,29054.16016,28872.26953,28895.5,287440000
15-01-2020,29030.2207,29127.58984,28897.34961,28901.80078,260270000
16-01-2020,29297.64063,29300.32031,29131.94922,29131.94922,252110000
17-01-2020,29348.09961,29373.61914,29289.91016,29313.31055,321820000
